region,Stu_Pop,city,district,town
경기도 하남시 미사2동,1545,하남시,None,미사2동
경기도 하남시 신장1동,208,하남시,None,신장1동
경기도 하남시 신장2동,1462,하남시,None,신장2동
경기도 하남시 위례동,613,하남시,None,위례동
경기도 하남시 천현동,247,하남시,None,천현동
경기도 하남시 초이동,118,하남시,None,초이동
경기도 하남시 춘궁동,129,하남시,None,춘궁동
경기도 하남시 풍산동,944,하남시,None,풍산동
경기도 화성시 기배동,514,화성시,None,기배동
경기도 화성시 남양읍,1474,화성시,None,남양읍
경기도 화성시 동탄1동,1887,화성시,None,동탄1동
경기도 화성시 동탄2동,1341,화성시,None,동탄2동
경기도 화성시 동탄3동,1557,화성시,None,동탄3동
경기도 화성시 동탄4동,1994,화성시,None,동탄4동
경기도 화성시 동탄5동,1454,화성시,None,동탄5동
경기도 화성시 동탄6동,1133,화성시,None,동탄6동
경기도 화성시 동탄7동,2880,화성시,None,동탄7동
경기도 화성시 동탄8동,931,화성시,None,동탄8동
경기도 화성시 마도면,258,화성시,None,마도면
경기도 화성시 매송면,272,화성시,None,매송면
경기도 화성시 반월동,1209,화성시,None,반월동
경기도 화성시 병점1동,1049,화성시,None,병점1동
경기도 화성시 병점2동,912,화성시,None,병점2동
경기도 화성시 봉담읍,2934,화성시,None,봉담읍
경기도 화성시 비봉면,217,화성시,None,비봉면
경기도 화성시 새솔동,725,화성시,None,새솔동
경기도 화성시 서신면,263,화성시,None,서신면
경기도 화성시 송산면,407,화성시,None,송산면
경기도 화성시 양감면,149,화성시,None,양감면
경기도 화성시 우정읍,649,화성시,None,우정읍
경기도 화성시 장안면,381,화성시,None,장안면
경기도 화성시 정남면,422,화성시,None,정남면
경기도 화성시 진안동,1643,화성시,None,진안동
경기도 화성시 팔탄면,368,화성시,None,팔탄면
경기도 화성시 향남읍,3135,화성시,None,향남읍
경기도 화성시 화산동,870,화성시,None,화산동
