schoolname,SIGUN_CD,schoolAdd,region,GRD1,GRD2,GRD3,SumStu,city,district,town
비전고등학교,41220,경기도 평택시 비전동 1088번지,경기도 평택시,321,286,305,912,평택시,None,비전동
부곡고등학교,41270,경기도 안산시 상록구 부곡동 446-3번지,경기도 안산시 상록구,288,301,315,904,안산시,상록구,부곡동
풍산고등학교,41450,경기도 하남시 덕풍동 778번지,경기도 하남시,219,206,206,631,하남시,None,덕풍동
호매실고등학교,41110,경기도 수원시 권선구 호매실동 1365번지,경기도 수원시 권선구,218,204,218,640,수원시,권선구,호매실동
고양국제고등학교,41280,경기도 고양시 일산동구 식사동 1483번지,경기도 고양시 일산동구,204,200,189,593,고양시,일산동구,식사동
저현고등학교,41280,경기도 고양시 일산동구 식사동 1552번지,경기도 고양시 일산동구,322,306,325,953,고양시,일산동구,식사동
동탄국제고등학교,41590,경기도 화성시 반송동 203번지 동탄국제고등학교,경기도 화성시,206,192,192,590,화성시,None,반송동
고양동산고등학교,41280,경기도 고양시 덕양구 동산동 362번지,경기도 고양시 덕양구,210,204,229,643,고양시,덕양구,동산동
광휘고등학교,41210,경기도 광명시 소하동 1390번지 광휘고등학교,경기도 광명시,262,265,285,812,광명시,None,소하동
화성반월고등학교,41590,경기도 화성시 반월동 945번지 화성반월고등학교,경기도 화성시,294,281,334,909,화성시,None,반월동
매홀고등학교,41370,경기도 오산시 수청동 632번지,경기도 오산시,284,254,209,747,오산시,None,수청동
수원칠보고등학교,41110,경기도 수원시 권선구 금곡동 1073번지,경기도 수원시 권선구,273,250,288,811,수원시,권선구,금곡동
곡정고등학교,41110,경기도 수원시 권선구 권선동 1338번지 곡정고등학교 임의로 수정,경기도 수원시 권선구,257,229,289,775,수원시,권선구,권선동
운양고등학교,41570,경기도 김포시 운양동 1325-6번지 운양고등학교,경기도 김포시,325,310,332,967,김포시,None,운양동
한민고등학교,41480,경기도 파주시 광탄면 용미리 704-10번지,경기도 파주시,369,347,323,1039,파주시,None,광탄면
옥정고등학교,41630,경기도 양주시 옥정동 948번지 옥정고등학교,경기도 양주시,322,298,282,902,양주시,None,옥정동
미사고등학교,41450,경기도 하남시 망월동 933번지 미사고등학교,경기도 하남시,222,204,203,629,하남시,None,망월동
한백고등학교,41590,경기도 화성시 영천동 696번지,경기도 화성시,351,339,394,1084,화성시,None,영천동
동탄중앙고등학교,41590,경기도 화성시 청계동 531번지 동탄중앙고등학교,경기도 화성시,333,321,374,1028,화성시,None,청계동
이의고등학교,41110,경기도 수원시 영통구 하동 977번지,경기도 수원시 영통구,331,304,365,1000,수원시,영통구,하동
김포제일고등학교,41570,경기도 김포시 운양동 625-8번지 김포제일고등학교,경기도 김포시,365,345,356,1066,김포시,None,운양동
지산고등학교,41480,경기도 파주시 와동동 1612번지,경기도 파주시,381,335,369,1085,파주시,None,와동동
별가람고등학교,41360,경기도 남양주시 별내동 909번지 별가람고등학교,경기도 남양주시,244,98,210,552,남양주시,None,별내동
갈매고등학교,41310,경기도 구리시 갈매동 653번지 갈매고등학교,경기도 구리시,249,190,214,653,구리시,None,갈매동
한빛고등학교,41480,경기도 파주시 야당동 1013번지,경기도 파주시,372,338,353,1063,파주시,None,야당동
미사강변고등학교,41450,경기도 하남시 선동 418번지 미사강변고등학교,경기도 하남시,149,106,145,400,하남시,None,선동
태전고등학교,41610,경기도 광주시 태전동 150번지,경기도 광주시,285,252,0,537,광주시,None,태전동
고림고등학교,41460,경기도 용인시 처인구 고림동 650-1번지,경기도 용인시 처인구,340,343,373,1056,용인시,처인구,고림동
배곧고등학교,41390,경기도 시흥시 정왕동 2489번지,경기도 시흥시,330,308,317,955,시흥시,None,정왕동
위례고등학교,41450,경기도 하남시 학암동 666번지 위례고등학교,경기도 하남시,76,47,66,189,하남시,None,학암동
하길고등학교,41590,경기도 화성시 향남읍 하길리 1509번지 하길고등학교,경기도 화성시,279,158,212,649,화성시,None,향남읍
위례한빛고등학교,41130,경기도 성남시 수정구 창곡동 574번지 위례한빛고등학교,경기도 성남시 수정구,284,269,274,827,성남시,수정구,창곡동
이산고등학교,41590,경기도 화성시 오산동 599번지,경기도 화성시,361,261,0,622,화성시,None,오산동
창의고등학교,41590,경기도 화성시 목동 350번지 창의고등학교,경기도 화성시,369,287,236,892,화성시,None,목동
문산제일고등학교,41480,경기도 파주시 야동동 361번지,경기도 파주시,272,270,279,821,파주시,None,야동동
부흥고등학교,41170,경기도 안양시 동안구 비산동 1102-2번지 부흥고등학교,경기도 안양시 동안구,374,354,400,1128,안양시,동안구,비산동
성호고등학교,41370,경기도 오산시 원동 605번지 성호고등학교,경기도 오산시,302,278,299,879,오산시,None,원동
수원여자고등학교,41110,경기도 수원시 팔달구 고등동 19-1번지 수원여자고등학교,경기도 수원시 팔달구,314,305,340,959,수원시,팔달구,고등동
두원공업고등학교,41550,경기도 안성시 미양면 신기리 47-8번지,경기도 안성시,223,232,261,716,안성시,None,미양면
양일고등학교,41830,경기도 양평군 양평읍 양근리 148번지 양일고등학교,경기도 양평군,225,202,242,669,양평군,None,양평읍
의정부여자고등학교,41150,경기도 의정부시 가능동 653번지 의정부여자고등학교,경기도 의정부시,264,250,260,774,의정부시,None,가능동
경기세무고등학교,41480,경기도 파주시 적성면 마지리 156-1번지,경기도 파주시,27,24,21,72,파주시,None,적성면
곤지암고등학교,41610,경기도 광주시 곤지암읍 곤지암리 453-12번지 곤지암고등학교,경기도 광주시,131,115,159,405,광주시,None,곤지암읍
남한고등학교,41450,경기도 하남시 덕풍동 450번지 남한고등학교,경기도 하남시,218,200,198,616,하남시,None,덕풍동
도래울고등학교,41280,경기도 고양시 덕양구 도내동 1098번지,경기도 고양시 덕양구,265,229,242,736,고양시,덕양구,도내동
경기관광고등학교,41670,경기도 여주시 대신면 율촌리 271번지 경기관광고등학교,경기도 여주시,103,103,91,297,여주시,None,대신면
